[INFO] | 2023-05-29 02:43:14 AM | analyzer.simple_dao | Analysis started at: 2023-05-29 02:43:14 AM
[INFO] | 2023-05-29 02:43:15 AM | analyzer.simple_dao | Version constraints: ['^0.4.26']
[INFO] | 2023-05-29 02:43:15 AM | analyzer.simple_dao | solc version: v0.4.26
[INFO] | 2023-05-29 02:43:15 AM | analyzer.simple_dao | Callgraph generation started!
[INFO] | 2023-05-29 02:43:15 AM | analyzer.simple_dao | Callgraph generation finished!
[INFO] | 2023-05-29 02:43:15 AM | analyzer.simple_dao | Interprocedural CFG generation started!
[INFO] | 2023-05-29 02:43:15 AM | analyzer.simple_dao | Interprocedural CFG generation finished!
[INFO] | 2023-05-29 02:43:15 AM | analyzer.simple_dao | Storage dependency graph generation started!
[INFO] | 2023-05-29 02:43:15 AM | analyzer.simple_dao | Storage dependency graph generation finished!
[INFO] | 2023-05-29 02:43:15 AM | analyzer.simple_dao | Value Range Analysis started
[INFO] | 2023-05-29 02:43:15 AM | analyzer.simple_dao | Generating return summary for donate
[INFO] | 2023-05-29 02:43:15 AM | analyzer.simple_dao | Return summary generated for donate
[INFO] | 2023-05-29 02:43:15 AM | analyzer.simple_dao | Range graph generated
[INFO] | 2023-05-29 02:43:15 AM | analyzer.simple_dao | Processed function donate
[INFO] | 2023-05-29 02:43:15 AM | analyzer.simple_dao | Generating return summary for withdraw
[INFO] | 2023-05-29 02:43:15 AM | analyzer.simple_dao | Return summary generated for withdraw
[INFO] | 2023-05-29 02:43:15 AM | analyzer.simple_dao | Range graph generated
[INFO] | 2023-05-29 02:43:15 AM | analyzer.simple_dao | Processed function withdraw
[INFO] | 2023-05-29 02:43:15 AM | analyzer.simple_dao | Generating return summary for queryCredit
[INFO] | 2023-05-29 02:43:15 AM | analyzer.simple_dao | Return summary generated for queryCredit
[INFO] | 2023-05-29 02:43:15 AM | analyzer.simple_dao | State variable assignement do not exist
[INFO] | 2023-05-29 02:43:15 AM | analyzer.simple_dao | Processed function queryCredit
[INFO] | 2023-05-29 02:43:15 AM | analyzer.simple_dao | Value Range Analysis took 0.003151 seconds
[INFO] | 2023-05-29 02:43:15 AM | analyzer.simple_dao | Value Range Analysis finished
[INFO] | 2023-05-29 02:43:15 AM | analyzer.simple_dao | Storage dependency graph compostion started!
[INFO] | 2023-05-29 02:43:15 AM | analyzer.simple_dao | Storage dependency graph compostion finished!
[INFO] | 2023-05-29 02:43:15 AM | analyzer.simple_dao | Dependency detection started!
[INFO] | 2023-05-29 02:43:15 AM | analyzer.simple_dao | DAO dependency detected in file simple_dao.sol in contract SimpleDAO in by composing functions withdraw and withdraw
[INFO] | 2023-05-29 02:43:15 AM | analyzer.simple_dao | TOD dependency detected in file simple_dao.sol in contract SimpleDAO in by composing functions withdraw and donate
[INFO] | 2023-05-29 02:43:15 AM | analyzer.simple_dao | TOD dependency detected in file simple_dao.sol in contract SimpleDAO in by composing functions withdraw and withdraw
[INFO] | 2023-05-29 02:43:15 AM | analyzer.simple_dao | Dependency detection finished!
[INFO] | 2023-05-29 02:43:15 AM | analyzer.simple_dao | Static Analysis took 0.600736 seconds
[INFO] | 2023-05-29 02:43:15 AM | analyzer.simple_dao | Dependency exists
[INFO] | 2023-05-29 02:43:15 AM | analyzer.simple_dao | Invoking symbolic executor!
[INFO] | 2023-05-29 02:43:21 AM | analyzer.simple_dao | Symbolic execution took 6.637507 seconds
[INFO] | 2023-05-29 02:43:21 AM | analyzer.simple_dao | Symbolic execution finished!
[INFO] | 2023-05-29 02:43:21 AM | analyzer.simple_dao | Analysis finished!
[INFO] | 2023-05-29 02:43:21 AM | analyzer.simple_dao | Analysis took 7.239988 seconds
[INFO] | 2023-05-29 02:43:21 AM | analyzer.simple_dao | Analysis finished at: 2023-05-29 02:43:21 AM
