[INFO] | 2023-05-29 02:42:43 AM | analyzer.reentrancy_cross_function | Analysis started at: 2023-05-29 02:42:43 AM
[INFO] | 2023-05-29 02:42:43 AM | analyzer.reentrancy_cross_function | Version constraints: ['^0.4.26']
[INFO] | 2023-05-29 02:42:43 AM | analyzer.reentrancy_cross_function | solc version: v0.4.26
[INFO] | 2023-05-29 02:42:43 AM | analyzer.reentrancy_cross_function | Callgraph generation started!
[INFO] | 2023-05-29 02:42:43 AM | analyzer.reentrancy_cross_function | Callgraph generation finished!
[INFO] | 2023-05-29 02:42:43 AM | analyzer.reentrancy_cross_function | Interprocedural CFG generation started!
[INFO] | 2023-05-29 02:42:43 AM | analyzer.reentrancy_cross_function | Interprocedural CFG generation finished!
[INFO] | 2023-05-29 02:42:43 AM | analyzer.reentrancy_cross_function | Storage dependency graph generation started!
[INFO] | 2023-05-29 02:42:43 AM | analyzer.reentrancy_cross_function | Storage dependency graph generation finished!
[INFO] | 2023-05-29 02:42:43 AM | analyzer.reentrancy_cross_function | Value Range Analysis started
[INFO] | 2023-05-29 02:42:43 AM | analyzer.reentrancy_cross_function | Generating return summary for transfer
[INFO] | 2023-05-29 02:42:43 AM | analyzer.reentrancy_cross_function | Return summary generated for transfer
[INFO] | 2023-05-29 02:42:43 AM | analyzer.reentrancy_cross_function | Range graph generated
[INFO] | 2023-05-29 02:42:43 AM | analyzer.reentrancy_cross_function | Processed function transfer
[INFO] | 2023-05-29 02:42:43 AM | analyzer.reentrancy_cross_function | Generating return summary for withdrawBalance
[INFO] | 2023-05-29 02:42:43 AM | analyzer.reentrancy_cross_function | Return summary generated for withdrawBalance
[INFO] | 2023-05-29 02:42:43 AM | analyzer.reentrancy_cross_function | Range graph generated
[INFO] | 2023-05-29 02:42:43 AM | analyzer.reentrancy_cross_function | Processed function withdrawBalance
[INFO] | 2023-05-29 02:42:43 AM | analyzer.reentrancy_cross_function | Value Range Analysis took 0.002562 seconds
[INFO] | 2023-05-29 02:42:43 AM | analyzer.reentrancy_cross_function | Value Range Analysis finished
[INFO] | 2023-05-29 02:42:43 AM | analyzer.reentrancy_cross_function | Storage dependency graph compostion started!
[INFO] | 2023-05-29 02:42:43 AM | analyzer.reentrancy_cross_function | Storage dependency graph compostion finished!
[INFO] | 2023-05-29 02:42:43 AM | analyzer.reentrancy_cross_function | Dependency detection started!
[INFO] | 2023-05-29 02:42:43 AM | analyzer.reentrancy_cross_function | DAO dependency detected in file reentrancy_cross_function.sol in contract Reentrancy_cross_function in by composing functions withdrawBalance and transfer
[INFO] | 2023-05-29 02:42:43 AM | analyzer.reentrancy_cross_function | DAO dependency detected in file reentrancy_cross_function.sol in contract Reentrancy_cross_function in by composing functions withdrawBalance and withdrawBalance
[INFO] | 2023-05-29 02:42:43 AM | analyzer.reentrancy_cross_function | TOD dependency detected in file reentrancy_cross_function.sol in contract Reentrancy_cross_function in by composing functions withdrawBalance and transfer
[INFO] | 2023-05-29 02:42:43 AM | analyzer.reentrancy_cross_function | TOD dependency detected in file reentrancy_cross_function.sol in contract Reentrancy_cross_function in by composing functions withdrawBalance and withdrawBalance
[INFO] | 2023-05-29 02:42:43 AM | analyzer.reentrancy_cross_function | Dependency detection finished!
[INFO] | 2023-05-29 02:42:43 AM | analyzer.reentrancy_cross_function | Static Analysis took 0.682618 seconds
[INFO] | 2023-05-29 02:42:43 AM | analyzer.reentrancy_cross_function | Dependency exists
[INFO] | 2023-05-29 02:42:43 AM | analyzer.reentrancy_cross_function | Invoking symbolic executor!
[INFO] | 2023-05-29 02:42:48 AM | analyzer.reentrancy_cross_function | Symbolic execution took 5.076170 seconds
[INFO] | 2023-05-29 02:42:48 AM | analyzer.reentrancy_cross_function | Symbolic execution finished!
[INFO] | 2023-05-29 02:42:48 AM | analyzer.reentrancy_cross_function | Analysis finished!
[INFO] | 2023-05-29 02:42:48 AM | analyzer.reentrancy_cross_function | Analysis took 5.760461 seconds
[INFO] | 2023-05-29 02:42:48 AM | analyzer.reentrancy_cross_function | Analysis finished at: 2023-05-29 02:42:48 AM
