[INFO] | 2023-05-29 02:41:24 AM | analyzer.0x941d225236464a25eb18076df7da6a91d0f95e9e | Analysis started at: 2023-05-29 02:41:24 AM
[INFO] | 2023-05-29 02:41:25 AM | analyzer.0x941d225236464a25eb18076df7da6a91d0f95e9e | Version constraints: ['^0.4.19']
[INFO] | 2023-05-29 02:41:25 AM | analyzer.0x941d225236464a25eb18076df7da6a91d0f95e9e | solc version: v0.4.19
[INFO] | 2023-05-29 02:41:25 AM | analyzer.0x941d225236464a25eb18076df7da6a91d0f95e9e | Callgraph generation started!
[INFO] | 2023-05-29 02:41:25 AM | analyzer.0x941d225236464a25eb18076df7da6a91d0f95e9e | Callgraph generation finished!
[INFO] | 2023-05-29 02:41:25 AM | analyzer.0x941d225236464a25eb18076df7da6a91d0f95e9e | Interprocedural CFG generation started!
[INFO] | 2023-05-29 02:41:25 AM | analyzer.0x941d225236464a25eb18076df7da6a91d0f95e9e | Interprocedural CFG generation finished!
[INFO] | 2023-05-29 02:41:25 AM | analyzer.0x941d225236464a25eb18076df7da6a91d0f95e9e | Storage dependency graph generation started!
[INFO] | 2023-05-29 02:41:25 AM | analyzer.0x941d225236464a25eb18076df7da6a91d0f95e9e | Storage dependency graph generation finished!
[INFO] | 2023-05-29 02:41:25 AM | analyzer.0x941d225236464a25eb18076df7da6a91d0f95e9e | Value Range Analysis started
[INFO] | 2023-05-29 02:41:25 AM | analyzer.0x941d225236464a25eb18076df7da6a91d0f95e9e | Generating return summary for ETH_FUND
[INFO] | 2023-05-29 02:41:25 AM | analyzer.0x941d225236464a25eb18076df7da6a91d0f95e9e | Return summary generated for ETH_FUND
[INFO] | 2023-05-29 02:41:25 AM | analyzer.0x941d225236464a25eb18076df7da6a91d0f95e9e | Range graph generated
[INFO] | 2023-05-29 02:41:25 AM | analyzer.0x941d225236464a25eb18076df7da6a91d0f95e9e | Processed function ETH_FUND
[INFO] | 2023-05-29 02:41:25 AM | analyzer.0x941d225236464a25eb18076df7da6a91d0f95e9e | Generating return summary for fallback
[INFO] | 2023-05-29 02:41:25 AM | analyzer.0x941d225236464a25eb18076df7da6a91d0f95e9e | Return summary generated for fallback
[INFO] | 2023-05-29 02:41:25 AM | analyzer.0x941d225236464a25eb18076df7da6a91d0f95e9e | State variable assignement do not exist
[INFO] | 2023-05-29 02:41:25 AM | analyzer.0x941d225236464a25eb18076df7da6a91d0f95e9e | Processed function fallback
[INFO] | 2023-05-29 02:41:25 AM | analyzer.0x941d225236464a25eb18076df7da6a91d0f95e9e | Generating return summary for slitherConstructorVariables
[INFO] | 2023-05-29 02:41:25 AM | analyzer.0x941d225236464a25eb18076df7da6a91d0f95e9e | Return summary generated for slitherConstructorVariables
[INFO] | 2023-05-29 02:41:25 AM | analyzer.0x941d225236464a25eb18076df7da6a91d0f95e9e | Range graph generated
[INFO] | 2023-05-29 02:41:25 AM | analyzer.0x941d225236464a25eb18076df7da6a91d0f95e9e | Processed function slitherConstructorVariables
[INFO] | 2023-05-29 02:41:25 AM | analyzer.0x941d225236464a25eb18076df7da6a91d0f95e9e | Generating return summary for AddMessage
[INFO] | 2023-05-29 02:41:25 AM | analyzer.0x941d225236464a25eb18076df7da6a91d0f95e9e | Return summary generated for AddMessage
[INFO] | 2023-05-29 02:41:25 AM | analyzer.0x941d225236464a25eb18076df7da6a91d0f95e9e | Range graph generated
[INFO] | 2023-05-29 02:41:25 AM | analyzer.0x941d225236464a25eb18076df7da6a91d0f95e9e | Processed function AddMessage
[INFO] | 2023-05-29 02:41:25 AM | analyzer.0x941d225236464a25eb18076df7da6a91d0f95e9e | Generating return summary for Deposit
[INFO] | 2023-05-29 02:41:25 AM | analyzer.0x941d225236464a25eb18076df7da6a91d0f95e9e | Return summary generated for Deposit
[INFO] | 2023-05-29 02:41:25 AM | analyzer.0x941d225236464a25eb18076df7da6a91d0f95e9e | Range graph generated
[INFO] | 2023-05-29 02:41:25 AM | analyzer.0x941d225236464a25eb18076df7da6a91d0f95e9e | Processed function Deposit
[INFO] | 2023-05-29 02:41:25 AM | analyzer.0x941d225236464a25eb18076df7da6a91d0f95e9e | Generating return summary for CashOut
[INFO] | 2023-05-29 02:41:25 AM | analyzer.0x941d225236464a25eb18076df7da6a91d0f95e9e | Return summary generated for CashOut
[INFO] | 2023-05-29 02:41:25 AM | analyzer.0x941d225236464a25eb18076df7da6a91d0f95e9e | Range graph generated
[INFO] | 2023-05-29 02:41:25 AM | analyzer.0x941d225236464a25eb18076df7da6a91d0f95e9e | Processed function CashOut
[INFO] | 2023-05-29 02:41:25 AM | analyzer.0x941d225236464a25eb18076df7da6a91d0f95e9e | Value Range Analysis took 0.008399 seconds
[INFO] | 2023-05-29 02:41:25 AM | analyzer.0x941d225236464a25eb18076df7da6a91d0f95e9e | Value Range Analysis finished
[INFO] | 2023-05-29 02:41:25 AM | analyzer.0x941d225236464a25eb18076df7da6a91d0f95e9e | Storage dependency graph compostion started!
[INFO] | 2023-05-29 02:41:25 AM | analyzer.0x941d225236464a25eb18076df7da6a91d0f95e9e | Storage dependency graph compostion finished!
[INFO] | 2023-05-29 02:41:25 AM | analyzer.0x941d225236464a25eb18076df7da6a91d0f95e9e | Dependency detection started!
[INFO] | 2023-05-29 02:41:25 AM | analyzer.0x941d225236464a25eb18076df7da6a91d0f95e9e | DAO dependency detected in file 0x941d225236464a25eb18076df7da6a91d0f95e9e.sol in contract ETH_FUND in by composing functions CashOut and CashOut
[INFO] | 2023-05-29 02:41:25 AM | analyzer.0x941d225236464a25eb18076df7da6a91d0f95e9e | TOD dependency detected in file 0x941d225236464a25eb18076df7da6a91d0f95e9e.sol in contract ETH_FUND in by composing functions CashOut and Deposit
[INFO] | 2023-05-29 02:41:25 AM | analyzer.0x941d225236464a25eb18076df7da6a91d0f95e9e | TOD dependency detected in file 0x941d225236464a25eb18076df7da6a91d0f95e9e.sol in contract ETH_FUND in by composing functions CashOut and CashOut
[INFO] | 2023-05-29 02:41:25 AM | analyzer.0x941d225236464a25eb18076df7da6a91d0f95e9e | Dependency detection finished!
[INFO] | 2023-05-29 02:41:25 AM | analyzer.0x941d225236464a25eb18076df7da6a91d0f95e9e | Static Analysis took 0.964323 seconds
[INFO] | 2023-05-29 02:41:25 AM | analyzer.0x941d225236464a25eb18076df7da6a91d0f95e9e | Dependency exists
[INFO] | 2023-05-29 02:41:25 AM | analyzer.0x941d225236464a25eb18076df7da6a91d0f95e9e | Invoking symbolic executor!
[INFO] | 2023-05-29 02:41:33 AM | analyzer.0x941d225236464a25eb18076df7da6a91d0f95e9e | Symbolic execution took 7.968755 seconds
[INFO] | 2023-05-29 02:41:33 AM | analyzer.0x941d225236464a25eb18076df7da6a91d0f95e9e | Symbolic execution finished!
[INFO] | 2023-05-29 02:41:33 AM | analyzer.0x941d225236464a25eb18076df7da6a91d0f95e9e | Analysis finished!
[INFO] | 2023-05-29 02:41:33 AM | analyzer.0x941d225236464a25eb18076df7da6a91d0f95e9e | Analysis took 8.935033 seconds
[INFO] | 2023-05-29 02:41:33 AM | analyzer.0x941d225236464a25eb18076df7da6a91d0f95e9e | Analysis finished at: 2023-05-29 02:41:33 AM
