[INFO] | 2023-05-29 03:10:09 AM | analyzer.0x463f235748bc7862deaa04d85b4b16ac8fafef39 | Analysis started at: 2023-05-29 03:10:09 AM
[INFO] | 2023-05-29 03:10:10 AM | analyzer.0x463f235748bc7862deaa04d85b4b16ac8fafef39 | Version constraints: ['^0.4.19']
[INFO] | 2023-05-29 03:10:10 AM | analyzer.0x463f235748bc7862deaa04d85b4b16ac8fafef39 | solc version: v0.4.19
[INFO] | 2023-05-29 03:10:10 AM | analyzer.0x463f235748bc7862deaa04d85b4b16ac8fafef39 | Callgraph generation started!
[INFO] | 2023-05-29 03:10:10 AM | analyzer.0x463f235748bc7862deaa04d85b4b16ac8fafef39 | Callgraph generation finished!
[INFO] | 2023-05-29 03:10:10 AM | analyzer.0x463f235748bc7862deaa04d85b4b16ac8fafef39 | Interprocedural CFG generation started!
[INFO] | 2023-05-29 03:10:10 AM | analyzer.0x463f235748bc7862deaa04d85b4b16ac8fafef39 | Interprocedural CFG generation finished!
[INFO] | 2023-05-29 03:10:10 AM | analyzer.0x463f235748bc7862deaa04d85b4b16ac8fafef39 | Storage dependency graph generation started!
[INFO] | 2023-05-29 03:10:10 AM | analyzer.0x463f235748bc7862deaa04d85b4b16ac8fafef39 | Storage dependency graph generation finished!
[INFO] | 2023-05-29 03:10:10 AM | analyzer.0x463f235748bc7862deaa04d85b4b16ac8fafef39 | Value Range Analysis started
[INFO] | 2023-05-29 03:10:10 AM | analyzer.0x463f235748bc7862deaa04d85b4b16ac8fafef39 | Generating return summary for GetBal
[INFO] | 2023-05-29 03:10:10 AM | analyzer.0x463f235748bc7862deaa04d85b4b16ac8fafef39 | Return summary generated for GetBal
[INFO] | 2023-05-29 03:10:10 AM | analyzer.0x463f235748bc7862deaa04d85b4b16ac8fafef39 | State variable assignement do not exist
[INFO] | 2023-05-29 03:10:10 AM | analyzer.0x463f235748bc7862deaa04d85b4b16ac8fafef39 | Processed function GetBal
[INFO] | 2023-05-29 03:10:10 AM | analyzer.0x463f235748bc7862deaa04d85b4b16ac8fafef39 | Generating return summary for PrivateBank
[INFO] | 2023-05-29 03:10:10 AM | analyzer.0x463f235748bc7862deaa04d85b4b16ac8fafef39 | Return summary generated for PrivateBank
[INFO] | 2023-05-29 03:10:10 AM | analyzer.0x463f235748bc7862deaa04d85b4b16ac8fafef39 | Range graph generated
[INFO] | 2023-05-29 03:10:10 AM | analyzer.0x463f235748bc7862deaa04d85b4b16ac8fafef39 | Processed function PrivateBank
[INFO] | 2023-05-29 03:10:10 AM | analyzer.0x463f235748bc7862deaa04d85b4b16ac8fafef39 | Generating return summary for fallback
[INFO] | 2023-05-29 03:10:10 AM | analyzer.0x463f235748bc7862deaa04d85b4b16ac8fafef39 | Return summary generated for fallback
[INFO] | 2023-05-29 03:10:10 AM | analyzer.0x463f235748bc7862deaa04d85b4b16ac8fafef39 | State variable assignement do not exist
[INFO] | 2023-05-29 03:10:10 AM | analyzer.0x463f235748bc7862deaa04d85b4b16ac8fafef39 | Processed function fallback
[INFO] | 2023-05-29 03:10:10 AM | analyzer.0x463f235748bc7862deaa04d85b4b16ac8fafef39 | Generating return summary for slitherConstructorVariables
[INFO] | 2023-05-29 03:10:10 AM | analyzer.0x463f235748bc7862deaa04d85b4b16ac8fafef39 | Return summary generated for slitherConstructorVariables
[INFO] | 2023-05-29 03:10:10 AM | analyzer.0x463f235748bc7862deaa04d85b4b16ac8fafef39 | Range graph generated
[INFO] | 2023-05-29 03:10:10 AM | analyzer.0x463f235748bc7862deaa04d85b4b16ac8fafef39 | Processed function slitherConstructorVariables
[INFO] | 2023-05-29 03:10:10 AM | analyzer.0x463f235748bc7862deaa04d85b4b16ac8fafef39 | Generating return summary for AddMessage
[INFO] | 2023-05-29 03:10:10 AM | analyzer.0x463f235748bc7862deaa04d85b4b16ac8fafef39 | Return summary generated for AddMessage
[INFO] | 2023-05-29 03:10:10 AM | analyzer.0x463f235748bc7862deaa04d85b4b16ac8fafef39 | Range graph generated
[INFO] | 2023-05-29 03:10:10 AM | analyzer.0x463f235748bc7862deaa04d85b4b16ac8fafef39 | Processed function AddMessage
[INFO] | 2023-05-29 03:10:10 AM | analyzer.0x463f235748bc7862deaa04d85b4b16ac8fafef39 | Generating return summary for Deposit
[INFO] | 2023-05-29 03:10:10 AM | analyzer.0x463f235748bc7862deaa04d85b4b16ac8fafef39 | Return summary generated for Deposit
[INFO] | 2023-05-29 03:10:10 AM | analyzer.0x463f235748bc7862deaa04d85b4b16ac8fafef39 | Range graph generated
[INFO] | 2023-05-29 03:10:10 AM | analyzer.0x463f235748bc7862deaa04d85b4b16ac8fafef39 | Processed function Deposit
[INFO] | 2023-05-29 03:10:10 AM | analyzer.0x463f235748bc7862deaa04d85b4b16ac8fafef39 | Generating return summary for CashOut
[INFO] | 2023-05-29 03:10:10 AM | analyzer.0x463f235748bc7862deaa04d85b4b16ac8fafef39 | Return summary generated for CashOut
[INFO] | 2023-05-29 03:10:10 AM | analyzer.0x463f235748bc7862deaa04d85b4b16ac8fafef39 | Range graph generated
[INFO] | 2023-05-29 03:10:10 AM | analyzer.0x463f235748bc7862deaa04d85b4b16ac8fafef39 | Processed function CashOut
[INFO] | 2023-05-29 03:10:10 AM | analyzer.0x463f235748bc7862deaa04d85b4b16ac8fafef39 | Value Range Analysis took 0.009274 seconds
[INFO] | 2023-05-29 03:10:10 AM | analyzer.0x463f235748bc7862deaa04d85b4b16ac8fafef39 | Value Range Analysis finished
[INFO] | 2023-05-29 03:10:10 AM | analyzer.0x463f235748bc7862deaa04d85b4b16ac8fafef39 | Storage dependency graph compostion started!
[INFO] | 2023-05-29 03:10:10 AM | analyzer.0x463f235748bc7862deaa04d85b4b16ac8fafef39 | Storage dependency graph compostion finished!
[INFO] | 2023-05-29 03:10:10 AM | analyzer.0x463f235748bc7862deaa04d85b4b16ac8fafef39 | Dependency detection started!
[INFO] | 2023-05-29 03:10:10 AM | analyzer.0x463f235748bc7862deaa04d85b4b16ac8fafef39 | DAO dependency detected in file 0x463f235748bc7862deaa04d85b4b16ac8fafef39.sol in contract PrivateBank in by composing functions CashOut and CashOut
[INFO] | 2023-05-29 03:10:10 AM | analyzer.0x463f235748bc7862deaa04d85b4b16ac8fafef39 | TOD dependency detected in file 0x463f235748bc7862deaa04d85b4b16ac8fafef39.sol in contract PrivateBank in by composing functions CashOut and Deposit
[INFO] | 2023-05-29 03:10:10 AM | analyzer.0x463f235748bc7862deaa04d85b4b16ac8fafef39 | TOD dependency detected in file 0x463f235748bc7862deaa04d85b4b16ac8fafef39.sol in contract PrivateBank in by composing functions CashOut and CashOut
[INFO] | 2023-05-29 03:10:10 AM | analyzer.0x463f235748bc7862deaa04d85b4b16ac8fafef39 | Dependency detection finished!
[INFO] | 2023-05-29 03:10:10 AM | analyzer.0x463f235748bc7862deaa04d85b4b16ac8fafef39 | Static Analysis took 0.898620 seconds
[INFO] | 2023-05-29 03:10:10 AM | analyzer.0x463f235748bc7862deaa04d85b4b16ac8fafef39 | Dependency exists
[INFO] | 2023-05-29 03:10:10 AM | analyzer.0x463f235748bc7862deaa04d85b4b16ac8fafef39 | Invoking symbolic executor!
[INFO] | 2023-05-29 03:10:18 AM | analyzer.0x463f235748bc7862deaa04d85b4b16ac8fafef39 | Symbolic execution took 7.618327 seconds
[INFO] | 2023-05-29 03:10:18 AM | analyzer.0x463f235748bc7862deaa04d85b4b16ac8fafef39 | Symbolic execution finished!
[INFO] | 2023-05-29 03:10:18 AM | analyzer.0x463f235748bc7862deaa04d85b4b16ac8fafef39 | Analysis finished!
[INFO] | 2023-05-29 03:10:18 AM | analyzer.0x463f235748bc7862deaa04d85b4b16ac8fafef39 | Analysis took 8.519075 seconds
[INFO] | 2023-05-29 03:10:18 AM | analyzer.0x463f235748bc7862deaa04d85b4b16ac8fafef39 | Analysis finished at: 2023-05-29 03:10:18 AM
